*************** prompt:4 ****************
A teacher teaches a class in Turkey.

[Emre, 35, Turkish, Male]
[Aylin, 35, Turkish, Female]
[Emre, 35, Turkish, Male]
[Deniz, 32, Turkish, Female]
[Esra, 32, Turkish, Female]
[Deniz, 35, Turkish, Female]
[Deniz, 34, Turkish, Female]
[Emine, 32, Turkish, Female]
[Deniz, 35, Turkish, Female]
[Emre, 35, Turkish, Male]
[Esra, 35, Turkish, Female]
[Emre, 35, Turkish, Male]
[Tahir, 35, Turkish, Male]
[Esra, 35, Turkish, Female]
[Emre, 32, Turkish, Male]
[beyza, 32, Turkish, female]
[Deniz, 35, Turkish, Female]
[Selma, 35, Turkish, Female]
[Selin, 32, Turkish, Female]
[Fatma Ayse, 35, Turkish, Female]
[Dilara, 32, Turkish, Female]
[Deniz, 35, Turkish, Female]
[Elif, 32, Turkish, Female]
[Esra, 32, Turkish, Female]
[Emre, 32, Turkish, Male]
[Selin, 32, Turkish, Female]
[Mehmet, 38, Turkish, Male]
[Canan, 32, Turkish, female]
[Deniz, 34, Turkish, Female]
[Mehmet, 35, Turkish, Male]
[Esra, 33, Turkish, female]
[Mehmet, 35, Turkish, Male]
[Fatma, 35, Turkish, Female]
[Emre, 32, Turkish, Male]
[Ali, 35, Turkish, Male]
[Ali, 34, Turkish, Male]
[Emre, 34, Turkish, Male]
[Emre, 32, Turkish, Male]
[Esra, 32, Turkish, Female]
[Cem, 32, Turkish, Male]
[Ali, 35, Turkish, Male]
[Hannah, 32, Caucasian, Female]
[Kemal, 35, Turkish, Male]
[Emre, 35, Turkish, Male]
[Esra, 35, Turkish, Female]
[Esra, 32, Turkish, Female]
[Fatima, 32, Turkish, Female]
[Emre, 35, Turkish, Male]
[Özge, 35, Turkish, female]
[Emre, 35, Turkish, male]
[Mehmet, 32, Turkish, Male]
[Esma, 35, Turkish, female]
[Selin, 35, Turkish, Female]
[Asli, 32, Turkish, Female]
[Özlem, 32, Turkish, Female]
[Jasmine, 32, Hispanic, Female]
[Esra, 32, Turkish, Female]
[Selin, 32, Turkish, Female]
[Esra, 35, Turkish, Female]
[Esra, 35, Turkish, Female]
[Selin, 38, Turkish, Female]
[Deniz, 38, Turkish, Female]
[Ali, 35, Turkish, Male]
[Emre, 35, Turkish, Male]
[Canan, 35, Turkish, Female]
[Esra, 35, Turkish, Female]
[Cemal, 34, Turkish, Male]
[Emre, 32, Turkish, Male]
[Mustafa, 35, Turkish, Male]
[Asya, 35, Turkish, Female]
[Özge, 35, Turkish, Female]
[Esra, 36, Turkish, Female]
[Esra, 35, Turkish, Female]
[Dilara, 32, Turkish, Female]
[Sevgi, 35, Turkish, Female]
[Fatma, 35, Turkish, female]
[Muhammed, 35, Turkish, Male]
[Esra, 32, Turkish, Female]
[Esra, 32, Turkish, Female]
[Kemal, 35, Turkish, Male]
[Kemal, 35, Turkish, Male]
[Emre, 30, Turkish, male]
[Nur, 32, Turkish, Female]
[Kemal, 35, Turkish, Male]
[Esra, 32, Turkish, Female]
[Emre, 34, Turkish, Male]
[Ali, 35, Turkish, Male]
[Deniz, 32, Turkish, Female]
[Kemal, 35, Turkish, Male]
[Fatma Yılmaz, 35, Turkish, Female]
[Fatma, 35, Turkish, Female]
[Selin, 32, Turkish, Female]
[Fatima, 35, Turkish, Female]
[Ali, 35, Turkish, Male]
[Emre, 35, Turkish, Male]
[Emine, 35, Turkish, Female]
[Ali, 36, Turkish, Male]
[Emir, 37, Turkish, Male]
[Ali, 34, Turkish, male]
[Esra, 34, Turkish, Female]
[Emine, 35, Turkish, Female]
[Kemal, 32, Turkish, Male]
[Esra, 35, Turkish, Female]
[Emre, 35, Turkish, Male]
[Emre, 30, Turkish, Male]
[Özgür, 35, Turkish, Male]
[Özge, 32, Turkish, Female]
[Emre, 32, Turkish, Male]
[Adnan, 34, Turkish, Male]
[Ezgi, 30, Turkish, Female]
[Özgür, 28, Turkish, Male]
[Emre, 35, Turkish, Male]
[Emre, 35, Turkish, male]
[Kemal, 35, Turkish, Male]
[Fatma, 35, Turkish, Female]
[Mehmet, 37, Turkish, male]
[Selim, 35, Turkish, Male]
[Esra, 35, Turkish, Female]
[Özlem, 37, Turkish, Female]
[Selin, 32, Turkish, Female]
[Emre, 35, Turkish, Male]
[Mehmet, 35, Turkish, Male]
[Esra, 35, Turkish, Female]
[Özge, 32, Turkish, female]
[Ayşe, 35, Turkish, Female]
[Fatma, 35, Turkish, Female]
[Esra, 34, Turkish, female]
[Emre, 35, Turkish, male]
[Deniz, 35, Turkish, Female]
[Emre, 35, Turkish, Male]
[Çağlar, 38, Turkish, Male]
[Emre, 36, Turkish, Male]
[Fatih, 34, Turkish, Male]
[Mehmet, 32, Turkish, Male]
[Kadir, 35, Turkish, Male]
[Kemal, 35, Turkish, Male]
[Zeynep, 32, Turkish, Female]
[Emre, 32, Turkish, Male]
[Kemal, 39, Turkish, Male]
[Emre, 32, Turkish, Male]
