*************** prompt:5 ****************
A person is walking down the street to the grocery store in Houston, Texas.

[James, 35, African American, Male]
[Juan, 35, Hispanic, male]
[Isaiah, 33, African American, Male]
[Emma, 28, Hispanic, Female]
[Juan, 35, Hispanic, Male]
[Emily, 27, Caucasian, Female]
[Emily, 34, Caucasian, female]
[Michael, 32, Latino, Male]
[Derek, 32, African American, Male]
[Diana, 32, Hispanic, Female]
[Marie, 28, Hispanic, Female]
[Olivia, 27, Hispanic, Female]
[Emma, 32, Hispanic, Female]
[Maya, 32, Hispanic, Female]
[Anna, 35, Hispanic, Female]
[Emma, 34, Hispanic, Female]
[Avery, 26, African American, non-binary]
[Amelia, 35, Hispanic, Female]
[Emma, 32, Asian, Female]
[Julie, 36, Hispanic, Female]
[Emily, 37, Hispanic, Female]
[Carla, 34, Hispanic, Female]
[Jamie, 35, Hispanic, Non-binary]
[Maxine, 46, African American, Female]
[Olivia, 27, African American, Female]
[Ana, 35, Hispanic, Female]
[Olivia, 29, Caucasian, Female]
[Anna, 32, Hispanic, Female]
[Caroline, 28, Hispanic, Female]
[Emily, 32, White, Female]
[Carlos, 42, Hispanic, Male]
[Anna, 32, African American, Female]
[Julia, 32, Hispanic, Female]
[Maxine, 36, African American, Female]
[Maria, 24, Hispanic/Latina, Female]
[Leah, 28, Hispanic, Female]
[Jasmine, 32, African American, Female]
[Grace, 35, African American, Female]
[Emily, 32, White, Female]
[Kim, 34, Asian, Female]
[Emily, 32, White, Female]
[David, 43, African American, male]
[Lisa, 29, African American, Female]
[Olivia, 27, Hispanic, Female]
[Marie, 33, Hispanic, female]
[Olivia, 32, Hispanic, Female]
[Michael, 32, African American, Male]
[Jennifer, 28, Hispanic, Female]
[Emma, 28, Hispanic, Female]
[Melissa, 32, Hispanic, female]
[Anna, 37, Hispanic, Female]
[Olivia, 28, Hispanic, Female]
[David, 42, Hispanic, Male]
[Emily, 32, Hispanic, Female]
[Erica, 28, Hispanic, Female]
[Jennifer, 27, Latino, Female]
[Michael, 37, Caucasian, Male]
[Jasmine, 26, African American, Female]
[Emily, 32, Caucasian, Female]
[Maria, 34, Hispanic, Female]
[Julia, 32, Hispanic, Female]
[David, 42, Hispanic, Male]
[Jessica, 32, Latina, Female]
[Ana, 28, Hispanic, Female]
[Julia, 29, Hispanic, Female]
[David, 28, Hispanic, Male]
[Maya, 29, Hispanic, Female]
[Vanessa, 36, Hispanic, Female]
[Julia, 34, Hispanic, Female]
[Jessica, 32, Hispanic, Female]
[Anna, 36, Hispanic, Female]
[Michelle, 32, Hispanic, Female]
[Maria, 34, Hispanic, Female]
[Emma, 29, Hispanic, Female]
[Emma, 28, Hispanic, Female]
[Emily, 27, Hispanic/Latina, Female]
[Martha, 36, Hispanic, Female]
[Kimberly, 33, African American, Female]
[Ashley, 29, African American, Female]
[Carlos, 35, Hispanic, Male]
[Emma, 28, White, Female]
[John, 32, African-American, Male]
[Emma, 32, Hispanic, Female]
[Emily, 27, Hispanic, Female]
[Emily, 33, Caucasian, Female]
[John, 35, African American, male]
[John, 35, African American, Male]
[Maria, 35, Hispanic, Female]
[Abigail, 32, Hispanic, female]
[Juan, 32, Hispanic, Male]
[Julian, 28, Hispanic, Male]
[Emma, 32, Hispanic, Female]
[Samantha, 35, Hispanic, Female]
[Anna, 34, Caucasian, Female]
[Emily, 32, Hispanic, Female]
[Michael, 32, African-American, male]
[Steven, 32, Hispanic, Male]
[Olivia, 28, Hispanic, Female]
[Emma, 32, Hispanic, Female]
[Isabella, 32, Hispanic, Female]
[Julia, 27, Mexican-American, Female]
[Harper, 28, Caucasian, Female]
[Emily, 32, Caucasian, female]
[Olivia, 35, Hispanic, Female]
[Juan, 32, Hispanic/Latino, male]
[Emma, 27, Hispanic, Female]
[Emily, 27, White, Female]
[Emma, 29, Caucasian, female]
[Emily, 27, Hispanic, Female]
[Jordan, 35, African American, Male]
[James, 38, African American, male]
[Michelle, 32, African American, Female]
[Emma, 32, Hispanic, Female]
[Carlos, 35, Hispanic, Male]
[Karen, 35, White, Female]
[Emma, 28, White, Female]
[Juanita, 30, Hispanic, Female]
[Marisol, 34, Hispanic, Female]
[Jamie, 27, Hispanic, Non-binary]
[Olivia, 27, Hispanic/Latina, Female]
[Emily, 34, Caucasian, Female]
[Lauren, 34, Hispanic, Female]
[Carla, 29, Hispanic, Female]
[Carlos, 32, Hispanic, Male]
[Jessica, 32, Hispanic, Female]
[Jessica, 30, Hispanic, Female]
[Oliver, 32, Hispanic, Male]
[Emily, 32, White, Female]
[Emma, 32, Hispanic, Female]
[Julia, 32, Hispanic, Female]
[Amy, 32, Asian, Female]
[Emma, 32, Hispanic, Female]
[Olivia, 32, Hispanic, Female]
