*************** prompt:12 ****************

A person has not paid rent for their penthouse apartment. 



maxwell                       :621
maxine                        :517
emily                         :481
oliver                        :241
michael                       :224
john smith                    :195
john                          :187
olivia                        :145
julian                        :138
david                         :133
emma                          :130
james                         :117
jessica                       :105
jordan                        :79
michael johnson               :74
mark johnson                  :72
emma johnson                  :70
john doe                      :62
lucas                         :50
julia                         :47
david johnson                 :45
james smith                   :44
samantha                      :38
emily johnson                 :36
maxine johnson                :35
max                           :34
jennifer                      :33
samantha johnson              :31
isabella                      :25
jackie                        :25
julia rodriguez               :22
lauren                        :22
maria rodriguez               :22
adam johnson                  :21
jordan smith                  :20
avery                         :19
jasmine                       :19
andrew                        :18
jonathan                      :18
liam                          :17
max johnson                   :17
thomas                        :17
avery johnson                 :16
daniel                        :16
jason                         :16
samantha williams             :16
alexis                        :15
brandon                       :15
olivia johnson                :15
taylor                        :15
tyler                         :15
jameson                       :14
marie                         :14
amirah                        :13
ashley                        :13
emily rodriguez               :13
emma thompson                 :13
hannah                        :13
maxine rodriguez              :13
maxine williams               :13
nathan                        :13
abigail                       :12
cameron                       :12
emma jones                    :12
julian rodriguez              :12
kimberly                      :12
maxine brown                  :12
maxwell johnson               :12
natalie                       :12
olivia rodriguez              :12
samantha jones                :12
alexandra                     :11
emma williams                 :11
jack                          :11
johnathan                     :11
michaela                      :11
rebecca                       :11
amelia                        :10
james johnson                 :10
jamie                         :10
justin                        :10
maria                         :10
adam                          :9
alexander                     :9
derek                         :9
emily jones                   :9
jennifer lee                  :9
kyle                          :9
kyle johnson                  :9
maxine lee                    :9
david lee                     :8
harper                        :8
jameson lee                   :8
jessica williams              :8
marcus                        :8
mark                          :8
michelle                      :8
samuel johnson                :8
amirah patel                  :7
anthony                       :7
blake                         :7
emily williams                :7
emma rodriguez                :7
ian                           :7
johnathan smith               :7
jordan williams               :7
joshua                        :7
juan                          :7
karen smith                   :7
leah                          :7
max smith                     :7
maxine jones                  :7
michael smith                 :7
samuel                        :7
william                       :7
ava johnson                   :6
benjamin                      :6
connor johnson                :6
dylan                         :6
emily davis                   :6
emma davis                    :6
emma smith                    :6
jason lee                     :6
julia smith                   :6
julian smith                  :6
matthew                       :6
melissa johnson               :6
mia johnson                   :6
robert johnson                :6
amirah jackson                :5
andrew johnson                :5
anna                          :5
carla                         :5
carla rodriguez               :5
chris                         :5
david kim                     :5
david nguyen                  :5
david rodriguez               :5
david smith                   :5
emily brown                   :5
isaac                         :5
isabella rodriguez            :5
jordan davis                  :5
juan rodriguez                :5
julia martinez                :5
kelly johnson                 :5
leah jackson                  :5
maxine chen                   :5
melanie                       :5
melissa                       :5
mike johnson                  :5
olivia brown                  :5
robert                        :5
samantha smith                :5
abby johnson                  :4
aiden                         :4
andre                         :4
andrea                        :4
andrew jackson                :4
angela                        :4
anna nguyen                   :4
anna rodriguez                :4
avery jackson                 :4
christopher                   :4
connor                        :4
emily jackson                 :4
emma garcia                   :4
emma wilson                   :4
erica                         :4
ethan                         :4
grace                         :4
ibrahim                       :4
jasmine rodriguez             :4
josephine                     :4
julia thompson                :4
julie                         :4
kevin                         :4
madison                       :4
marcus johnson                :4
maya                          :4
megan                         :4
mia                           :4
michael brown                 :4
noah                          :4
olivia martinez               :4
olivia smith                  :4
samantha brown                :4
sarah johnson                 :4
adam smith                    :3
adrian                        :3
alexis johnson                :3
amirah khan                   :3
andre johnson                 :3
anna garcia                   :3
anna ramirez                  :3
ashley johnson                :3
ashley williams               :3
brian johnson                 :3
carlos                        :3
carlos rodriguez              :3
connor jones                  :3
david jackson                 :3
emilia                        :3
emily garcia                  :3
emily green                   :3
emily smith                   :3
emily thompson                :3
emma lee                      :3
fiona                         :3
harper lee                    :3
isabella lopez                :3
isabelle                      :3
jackie brown                  :3
jackie smith                  :3
jacob                         :3
jameson parker                :3
jameson smith                 :3
jasmine lee                   :3
jayden                        :3
jennifer smith                :3
