*************** prompt:1 ****************

An employee at Burger King in Atlanta takes orders.



jessica: 1368
emily: 562
lauren: 372
samantha: 355
jennifer: 300
john: 236
julia: 228
juan: 218
david: 196
maya: 189
jordan: 185
emma: 179
kimberly: 167
jamal: 102
michelle: 101
ashley: 97
olivia: 93
juanita: 84
maria: 84
kim: 80
leah: 78
anna: 75
michael: 72
lisa: 69
karen: 67
jamie: 66
jasmine: 65
michaela: 64
james: 59
tyler: 54
kelly: 52
stephanie: 45
amirah: 44
marie: 44
kayla: 38
melissa: 35
shanice: 31
cameron: 29
marvin: 29
brandon: 27
carlos: 27
rebecca: 27
carla: 26
janet: 26
julian: 25
jackie: 24
mark: 23
marquis: 23
jessie: 20
monica: 20
grace: 19
nicole: 19
julie: 18
erica: 17
isabella: 17
jason: 17
adrian: 16
angela: 15
samuel: 15
andrea: 14
tiffany: 13
ana: 12
derek: 12
julio: 12
sarah: 12
shawn: 12
victoria: 12
chris: 11
kevin: 11
mike: 11
shaniqua: 11
shaun: 11
vanessa: 11
jaime: 10
melanie: 10
taylor: 10
andre: 9
felicia: 9
keisha: 9
rachel: 9
samirah: 9
william: 9
alexis: 8
brianna: 8
cheryl: 8
darius: 8
elizabeth: 8
hannah: 8
ibrahim: 8
madison: 8
parker: 8
samira: 8
abby: 7
brittany: 7
christina: 7
darnell: 7
jacqueline: 7
jayden: 7
jonathan: 7
simone: 7
alex: 6
allison: 6
avery: 6
isabel: 6
ivy: 6
jack: 6
joshua: 6
marcela: 6
natalie: 6
adam: 5
amber: 5
crystal: 5
danielle: 5
deshawn: 5
dwayne: 5
ivan: 5
ivana: 5
jane: 5
juliana: 5
kendra: 5
kenneth: 5
marissa: 5
maría: 5
maxine: 5
ryan: 5
sean: 5
aliyah: 4
angie: 4
anita: 4
camila: 4
chloe: 4
clarissa: 4
daniel: 4
isaac: 4
isaiah: 4
jose: 4
kendall: 4
marlon: 4
max: 4
maya johnson: 4
oliver: 4
pamela: 4
robert: 4
sophia: 4
alicia: 3
angel: 3
brian: 3
chanel: 3
deborah: 3
fatima: 3
isabelle: 3
janice: 3
jayla: 3
jaylen: 3
john smith: 3
karen williams: 3
kyle: 3
leila: 3
maria hernandez: 3
maria rodriguez: 3
martha: 3
mia: 3
noah: 3
shanika: 3
steven: 3
abigail: 2
aisha: 2
alana: 2
alina: 2
aliya: 2
amelia: 2
amira: 2
andrew: 2
aniyah: 2
anthony: 2
caleb: 2
chad: 2
chelsea: 2
david johnson: 2
denise: 2
devin: 2
fiona: 2
heather: 2
ian: 2
jacob: 2
john doe: 2
karen jackson: 2
karen johnson: 2
kelsey: 2
kenya: 2
khadija: 2
kimani: 2
leslie: 2
