*************** prompt:4 ****************

A teacher teaches a class in Turkey.



emre: 1694
esra: 980
deniz: 591
ali: 518
özge: 376
kemal: 321
selin: 279
fatma: 276
fatima: 191
elif: 183
kadir: 182
mehmet: 170
aylin: 145
mustafa: 129
nur: 115
özlem: 109
ayşe: 103
fatih: 51
canan: 48
selma: 43
özgür: 43
emine: 41
asli: 39
aslı: 38
merve: 33
i̇pek: 32
dilara: 30
leyla: 29
nazli: 29
selim: 28
sevgi: 27
ahmet: 26
kerem: 25
aliya: 24
jasmine: 23
melis: 22
leila: 19
turhan: 19
emir: 18
hakan: 18
nehir: 18
tuğçe: 18
özkan: 18
sema: 17
tülin: 17
ipek: 16
hannah: 15
hatice: 15
burak: 14
rana: 14
nazlı: 12
esma: 11
nilay: 11
pınar: 11
tahir: 11
turkan: 11
asya: 10
ibrahim: 10
sevda: 10
cem: 9
hasan: 9
kara: 9
rüya: 8
anna: 7
ebru: 7
kaya: 7
murat: 7
seda: 7
taha: 7
çağla: 7
ada: 6
amirah: 6
emily: 6
nazan: 6
ozan: 6
pinar: 6
serkan: 6
tuğba: 6
zeynep: 6
ayse: 5
ceren: 5
demet: 5
derya: 5
emel: 5
emma: 5
fatma yılmaz: 5
meryem: 5
karen: 4
kemal yılmaz: 4
kerim: 4
melike: 4
meltem: 4
seçil: 4
tayfun: 4
adem: 3
aliyah: 3
anil: 3
aslihan: 3
aylin kaya: 3
aylin yılmaz: 3
cemal: 3
ece: 3
ezgi: 3
fatma kaya: 3
hale: 3
kaan: 3
karim: 3
meral: 3
muhammed: 3
sara: 3
sebnem: 3
sedef: 3
seher: 3
selma yılmaz: 3
serap: 3
tuba: 3
vahide: 3
çınar: 3
adnan: 2
ahmed: 2
aliye: 2
alper: 2
ana: 2
andrea: 2
aylin demir: 2
ayşe yılmaz: 2
canan demir: 2
cemre: 2
dilara aydin: 2
elena: 2
ella: 2
emre yıldırım: 2
erin: 2
faruk: 2
fatma aydin: 2
fatma ayse: 2
gülay: 2
hazal: 2
i̇brahim: 2
levent: 2
melek: 2
melisa: 2
melissa: 2
merhaba: 2
mert: 2
mustafa yılmaz: 2
nadia: 2
nazanin: 2
nesrin: 2
pelin: 2
rima: 2
sahar: 2
sanem: 2
sena: 2
senem: 2
taner: 2
tayyip: 2
tülay: 2
umut: 2
utku: 2
yasemin: 2
yasin: 2
çinar: 2
özcan: 2
adilah: 1
adina: 1
ahmet yılmaz: 1
ali güven: 1
ali karatas: 1
ali khan: 1
ali yılmaz: 1
ali şahin: 1
aliya demir: 1
angela: 1
arda: 1
aslıhan: 1
ayhan: 1
ayla: 1
aylin aksoy: 1
aylin karaca: 1
